original	analyzed	corrected
sīmaparicchindana”nti vā vimativinodanīvacanehi vā na sameti. Ganthakārenāpi parūpavādavivajjanatthaṃ	vā vimati vinodanī vacanehi vā na sameti ganthakārena api 	"sīma paricchindana""nti vā vimati vinodanī vacanehi vā na sameti ganthakārena api parūpavāda vivajjanatthaṃ"
akkhasaddo hi jūtepi nirūḷho. Dāruguḷanti bhamaṃ āropetvā āraggena katadāruvikati	akkha saddaḥ hi jūte pi nirūḍhaḥ bhamam āropetvā āraggena 	akkha saddaḥ hi jūte pi nirūḍhaḥ dāru guḷam ti bhamam āropetvā āraggena kata dāru vikati
attho. Ayañhetthattho sace nadī nātidīghā hoti aḍḍhayojanaṃ vā gāvutaṃ vā aḍḍhagāvutaṃ	atthaḥ sace nadī na ati dīghā hoti aḍḍha yojanam vā gāvutam vai aḍḍha gāvutam 	attho ayam hi ettha attho sace nadī na ati dīghā hoti aḍḍha yojanam vā gāvutam vā aḍḍha gāvutam
ubhayatthāpi ca. Yassaṃ disāyaṃ sattabbhantarassa vā udakukkhepassa vā okāso nappahoti,	ubhayattha api ca disā ayam okāsaḥ nappahoti 	ubhayattha api ca yassam disayam sattabbhantarassa va udakukkhepassa va okaso nappahoti
aghaṭiyattā ca pāḷiyaṭṭhakathāṭīkāvacanehipi virujjhanato ca, taṃ parato vaṇṇayissāma.	ca virujjhanataḥ ca tam paratas vaṇṇayissāma 	aghaṭiyattā ca pāḷiyaṭṭhakathāṭīkāvacanehipi ca virujjhanato ca taṃ parato vaṇṇayissāma
uppajjanti, nāsatīti daṭṭhabba’nti vuttattā udakukkhepaṃ vināva parisapariyantato	uppajjanti na asati iti daṭṭhabban ti vutta ttā udakukkhepam vinā ava 	uppajjanti na asati iti daṭṭhabban ti vutta ttā udakukkhepam vinā va parisapariyantato
vinayaṭṭhakathāsuceva sāratthadīpaniyañca vuttavacanehipi tava vacanaṃ asaṃsandeva,	vinaya ṭṭhakathāsu ca iva vutta vacanehi pi tava vacanam 	vinaya ṭṭhakathāsu ca eva sāratthadīpaniyañ ca iva vutta vacanehi pi tava vacanam asaṃsand eva
vimativinodaniyameva parato vuttavacanenāpi na ghaṭiyati. Kathaṃ neyyavacanaṃ hotīti.	vimati vinoda niyam eva paratas vutta vacanena api na katham neyya vacanam hoti iti 	vimati vinoda niyam eva paratas vutta vacanena api na ghatiyati katham neyya vacanam hoti iti
“Sīmāpekkhāya sati eva…pe… nassatī”ti ettha sīmāpekkhāya vinā maggagamananhānādi	sīmā apekkhāya sati ettha sīmā apekkhāya vinā 	sīmā apekkhāya sati eva pe nassati iti ettha sīmā apekkhāya vinā magga gamananhānādi
uppajjati’ nadīsamuddajātassaresupi majjhimassa purisassa samantā udakukkhe’pāti	uppajjati majjhimassa purisassa samantā 	uppajjati nadīsamuddajātassaresupi majjhimassa purisassa samantā udakukkhe'pāti
sati vimativinodaniyaṃ yeva puna tatthāti lokavohārasiddhāsu etāsu nadīādīsu tīsu	sati loka vohāra siddhāsu etāsu nadī ādīsu tīsu 	sati vimati vinodaniyaṃ yeva puna tattha iti loka vohāra siddhāsu etāsu nadī ādīsu tīsu
khipiyati etthāti udakukkhepo, udakassa pathanokāso, tasmā udakukkhepā. Ayañhettha	ettha ati udakukkhepaḥ udakassa pathanokāsaḥ tasmai udakukkhepāḥ ayam ha ittha 	khipiyati ettha ati udakukkhepaḥ udakassa pathanokāsaḥ tasmai udakukkhepāḥ ayam hi ettha
bhaveyya ācariyameva hi kecipana samantā abbhantaraṃ minitvā paricchedakaraṇeneva	bhaveyya hi samantā abbhantaram minitvā pariccheda karaṇena iva 	bhaveyya ācariyam eva hi keci pana samantā abbhantaram minitvā pariccheda karaṇena eva
sīmā sañjāyati, na sayamevāti vadanti, taṃ na gahetabbhantyādinā kecivādaṃ paṭikkhipitvā	sīmā sañjāyati na sayam eva ati vadanti tam na keci vādam paṭikkhipitvā 	sīmā sañjāyati na sayam eva iti vadanti taṃ na gahetabbaṃ iti ādinā keci vādaṃ paṭikkhipitvā
leḍḍusuppādikhipanavijānanadassanaṃ viya, teneva mātikāṭṭhakathāyaṃ sīmaṃ vā bandhanti	leḍḍu suppa ādi khipana vijānana dassanam viya tena iva sīmam vā bandhanti 	leḍḍu suppa ādi khipana vijānana dassanam viya tena eva mātikā aṭṭhakathāyam sīmam vā bandhanti
tāsaṃ sattabbhantaraudakukkhepasīmānaṃ uppatti, tabbigamena vināso ca gahetabboti	tāsam uppatti tad vigamena vināsaḥ ca gahetabbaḥ ti 	tāsaṃ sattabbhantaraudakukkhepasīmānaṃ uppatti tad vigamena vināso ca gahetabbo ti
attho labbhate mātikāṭṭhakathāya līnatthappakāsaniyampi “samantā udakukkhepaparicchedo	atthaḥ labbhate mātikā aṭṭhakathāya samantā udakukkhepa paricchedaḥ 	atthaḥ labbhate mātikā aṭṭhakathāya līnatthappakāsaniyampi samantā udakukkhepa paricchedaḥ
aññamaññaviruddhaṃ viya dissati vimativinodaniyaṃyeva ca “mahoghena pana unnataṭṭhānato	aññam añña viruddham viya dissati ca mahā oghena pana unnata ṭṭhānato 	aññam añña viruddham viya dissati vimati vinodaniyam yeva ca mahā oghena pana unnata ṭṭhānato
nadījātassaraudakukkhepāti dve dve sīmā labbhanti samudde pana kasmā samuddaudakukkhepavasena	dve dve sīmāḥ labbhanti samudde pana kasmā samudda odakukkhepa vasena 	nadī jāta ssara udakukkhepa āti dve dve sīmāḥ labbhanti samudde pana kasmā samudda udakukkhepa vasena
vattabbaṃ siyā nanevaṃ vuttaṃ. Athavā pakaraṇādivasena saddatthe vibhajjīyamānepi	vattabbam siyā nanu ivam vuttam athavā pakaraṇa ādi vasena saddatthe 	vattabbam siyā nanu evam vuttam athavā pakaraṇa ādi vasena saddatthe vibhajjīyamāne api
ekagabbheneva maranti tasmā “vaḷavaṃ savaccha”ntivā avaccha”nti vā vattuṃ nārahati	eka gabbhena iva maranti tasmai vaḷavam a vacchanti vā vattum na ārahati 	eka gabbhena eva maranti tasmā vaḷavam sa vacchanti vā a vacchanti vā vattum na ārahati
apica vimativinodaniyaṃyeva “gacchantiyā pana nāvāya kātuṃ na vaṭṭati. Kasmā udakukkhepamattameva	apica gacchantiyā pana nāvāya kātum na vaṭṭati kasmai uda kukkhepa mattam eva 	apica vimativinodaniyaṃ yeva gacchantiyā pana nāvāya kātuṃ na vaṭṭati kasmā udakukkhepamattam eva
kathinatthatasāṭakadānakammavācāviya tathā hi kathinatthatasāṭakadānakāle vuttakammavācā	tathā hi kathinattha tasa āṭaka dāna kamma vācā 	tathā hi kathinatthata sāṭaka dāna kamma vācā viya tathā hi kathinatthata sāṭaka dāna kāle vutta kamma vācā
ekāyevavaṭṭati, atthateyeva kathine puna varasāṭakaṃ labhitvā kammavācāya dānakiccaṃ	kathine puna vara sāṭakam labhitvā kamma vācāya dāna kiccam 	ekā yeva vaṭṭati attha te yeva kathine puna vara sāṭakam labhitvā kamma vācāya dāna kiccam
ime dve saddaracanāpi asambandhāva bhinnalakkhaṇā bhinnavisayā cetā sīmā. Kathaṃ	ime dve bhinna lakkhaṇā bhinna visayā sīmā kathaṃ 	ime dve saddaracanāpi asambandhāva bhinna lakkhaṇā bhinna visayā cetā sīmā kathaṃ
kammaṃ. Kiṃ taṃ, khipanaṃ. Evampi saddaracanā asambandhāva. “Vaggakammaparihāratthaṃ…pe…	kammam kim tam khipanam evam pi 	kammam kim tam khipanam evam pi saddaracana asambandha va vaggakammapariharam attham pe
Yadi hi…pe… yathā cettha, evaṃ udakukkhepasīmāyapi nadīādīsupi tatthāpi hi majjhimapuriso	yadi hipe yathā ca ittha evam nadī ādīsu pi tattha api hi majjhima purisaḥ 	yadi hi pe yathā ca ettha evaṃ udakukkhepasīmāya pi nadī ādīsu pi tattha api hi majjhima puriso
viharati, tassa araññassa araññasīmāti nānuññātā tathā nadīsamuddajātassaresupi gāmasīmāyamiva	viharati tassa araññassa arañña sīmā ati na anuññātā tathā gāma sīmāyam iva 	viharati tassa araññassa arañña sīmā ati na anuññātā tathā nadī samudda jātassaresu pi gāma sīmāyam iva
vā mahanto vā sabbo gāmapadeso gāmasīmāva hoti, sattabbhantarasīmāyapi “samantā sattabbhantarā”ti	vā mahantaḥ vā sabbaḥ gāma padesaḥ gāma sīmā ava hoti samantā sattabbhantarā ati 	vā mahantaḥ vā sabbaḥ gāma padesaḥ gāma sīmā ava hoti sattabbhantara sīmāya api samantā sattabbhantarā ati
uppajjatī”ti minanāminanavicāraṇā pana niratthakāva tathā udakukkhepasīmāyapi “majjhimassa	uppajjati iti minana aminana vicāraṇā pana niratthakā eva tathā majjhimassa 	uppajjati iti minana aminana vicāraṇā pana niratthakā eva tathā udakukkhepasīmāya api majjhimassa
bhinnavisayāva tasmā “nadīādīsu eseva nayo”ti vuttepi sattabbhantarasīmā apekkhāya	bhinna visayā ava tasmā nadī ādīsu esā iva nayo ti vutte pi 	bhinna visayā ava tasmā nadī ādīsu esa eva nayo ti vutte pi satta abbhantara sīmā apekkhāya
ce. Taṃ na, mātikāṭṭhakathāyaṃ “sace pana dvesaṅghā visuṃvisuṃ uposathādikammaṃ karonti,	ce tam na sace pana dvi saṅghāḥ visum visum uposatha ādi kammam karonti 	ce tam na mātikā aṭṭhakathāyam sace pana dvi saṅghāḥ visum visum uposatha ādi kammam karonti
na aṭṭhakathāyaṃ upalabbhati. Yadi cetaṃ dvinnaṃ saṅghānaṃ visuṃvisuṃ uposathādikammakaraṇādhikāre	na upalabbhati yadi ca itam dvinnam saṅghānam visum visum uposatha ādi kamma karaṇa adhikāre 	na aṭṭhakathāyaṃ upalabbhati yadi ca etaṃ dvinnaṃ saṅghānaṃ visuṃ visuṃ uposatha ādi kamma karaṇa adhikāre
paricchedanti dutiyaṃ udakukkhepaṃ anatikkamantopi kopeti. Kasmā, attano udakukkhepasīmāya	dutiyam udakukkhepam an atikkamantaḥ api kopeti kasmai attanaḥ udakukkhepa sīmāya 	paricchedanti dutiyam udakukkhepam an atikkamantopi kopeti kasma attano udakukkhepa simaya
paresaṃ udakukkhepasīmāya ajjhotthatattā sīmāsambhedo hoti, tasmā kopetī’ti “idaṃ	paresam udakukkhepa sīmāya sīmā sambhedaḥ hoti tasmā kopeti iti idam 	paresam udakukkhepa sīmāya ajjhotthatattā sīmā sambhedaḥ hoti tasmā kopeti iti idam
sāratthadīpaniyaṃyeva imamatthaṃ daḷhikaraṇavasena udakukkhepappamāṇā sīmantarikā	imamattham daḷhi karaṇa vasena uda kukkhepa ppamāṇā sīmantarikā 	sāratthadīpaniyaṃyeva imamatthaṃ daḷhi karaṇa vasena uda kukkhepa ppamāṇā sīmantarikā
Raṭṭhasīmā nāma kāsikosalādikā soḷasa mahājanapadā. “Soḷasamahānagara”ntipi tesaṃ	raṭṭhasīmā nāma kāsi kosala ādikā soḷasa mahā janapadā tesam 	raṭṭhasīmā nāma kāsi kosala ādikā soḷasa mahā janapadā soḷasa mahā nagara nti pi tesam
nāma tadaññepi sunāparantaraṭṭhādikā bahutarāva. Tathā paccantavisayepi rāmaññādikā	nāma tad aññe pi bahutarā ava tathā paccanta visaye pi rāmañña ādikā 	nāma tad aññe pi sunāparanta raṭṭha ādikā bahutarā ava tathā paccanta visaye pi rāmañña ādikā
“Pavattā catuvaṇṇānaṃ, yasmiṃ padese na vijjate;	pavattā yasmin padese na vijjate 	pavattā catuvaṇṇānaṃ yasmiṃ padese na vijjate
āharitvā kātuṃ sakkuṇeyyabhāvoyeva pamāṇaṃ. Evamasakkonte aniddhimapuggale sandhāya	āharitvā kātum pamāṇam evam a sakkonte aniddhim apuggale sandhāya 	āharitvā kātuṃ sakkuṇeyyabhāvoyeva pamāṇaṃ evaṃ asakkonte aniddhiṃ apuggale sandhāya
sattabbhantarasīmā attano sabhāveneva jātā tathā nadīsamuddajātassaresupi majjhimassa	satta abbhantara sīmā sabhāvena iva jātā tathā majjhimassa 	satta abbhantara sīmā attano sabhāvena eva jātā tathā nadī samudda jāta saresu pi majjhimassa
nuññātasuttānulomanayasāmatthiyato khuddakesu gāmanigamajanapadanagaresu tattha tattha	khuddakesu gāma nigama janapada nagaresu tattha tattha 	nuññāta suttānuloma naya sāmatthiyato khuddakesu gāma nigama janapada nagaresu tattha tattha
Karissaṃ me nisāmentu, sādhavo kavipuṅgavā.	karissam me sādhavaḥ kavi puṅgavā 	karissam me nisāmentu sādhavaḥ kavi puṅgavā
nisinno hoti, kārakasaṅgho sāvajjo, kammaṃpana na kuppati kasmā avaggārahattā. Aparepana	nisinnaḥ hoti kāraka saṅghaḥ sāvajjaḥ na kuppati kasmai avaggāra hattā 	nisinnaḥ hoti kāraka saṅghaḥ sāvajjaḥ kammaṃ pana na kuppati kasmai avaggāra hattā apare pana
vā dvīhi kāraṇehi laddhanāmo ñatti catutthaupasampannabhāvo atidullabhova.	vā dvīhi kāraṇehi laddha nāmaḥ catuttha upasampanna bhāvaḥ 	vā dvīhi kāraṇehi laddha nāmaḥ ñatti catuttha upasampanna bhāvaḥ atidullabha eva
nāma. Brahmapārisajjā, brahmapurohitā, mahābrahmā ca paṭhamajjhānabhūmi idaṃ agginā	nāma brahma pārisajjā brahma purohitā mahābrahmā ca idam agginā 	nāma brahma pārisajjā brahma purohitā mahābrahmā ca paṭhamajjhānabhūmi idam agginā
suddhāvāsā ca catutthajjhānabhūmiceti rūpāvacarabhūmi soḷasavidhā hoti. Avihā, atappā,	suddhāvāsā ca rūpāvacara bhūmi soḷasavidhā hoti avihā a tappā 	suddhāvāsā ca catutthajjhāna bhūmi ceti rūpāvacara bhūmi soḷasavidhā hoti avihā atappā
tasmā manussabhūmito yāva vasavattibhūmi dvesahassānipañcana hutāni duvesatasahassāni	tasmai manussa bhūmitaḥ yāva vasavatti bhūmi hutāni 	tasmā manussa bhūmito yāva vasavatti bhūmi dvesahassāni pañcana hutāni duve sata sahassāni
Tatupari brahmapārisajjādayo tayo brahmuno pañcapaññāsasatasahassa aṭṭhasahassayojane	tad upari brahma pārisajja ādayo tayo brahmuno aṭṭha sahassa yojane 	tad upari brahma pārisajja ādayo tayo brahmuno pañca paññāsa sata sahassa aṭṭha sahassa yojane
Catutthabhūmiyaṃ pana vehapphalaasaññasattā tappamāṇe samatale ṭhāne tiṭṭhanti. Tatuparisuddhāvāsabhūmiyo	catuttha bhūmiyam pana vehapphala asañña sattā tappamāṇe sama tale ṭhāne tiṭṭhanti 	catuttha bhūmiyam pana vehapphala asañña sattā tappamāṇe sama tale ṭhāne tiṭṭhanti tato upari suddhāvāsa bhūmiyo
ca pañcanahutāni ca chasahassāni ca honti tenetaṃ vuccati porāṇehi.	ca cha sahassāni ca honti tena itam vuccati porāṇehi 	ca pañca nahutāni ca cha sahassāni ca honti tena etam vuccati porāṇehi
Dhammāsikoso saṅgho ca, satthusaṅkhyampi gacchatīti.	saṅgho ca satthu saṅkhyam pi gacchati iti 	Dhammā sikoso saṅgho ca satthu saṅkhyam pi gacchati iti
hi ekasmiṃ kāle satasahassādivasena ekato pavattattā te dullabhāpi anacchariyajātattā	hi ekasmin kāle sata sahassa ādi vasena ekatas pavatta tā te dullabhā api 	hi ekasmin kāle sata sahassa ādi vasena ekatas pavatta tā te dullabhā api anacchariya jāta tā
micchāgāhattā brahmūnaṃ āyunā minitepi asamānaṃ saṃvaṭṭasīmāpi viruddhā, tasmā tesaṃ	micchā gāhattā asamānam asamānam viruddhā 	micchā gāhattā brahmūnaṃ āyunā minitepi asamānaṃ saṃvaṭṭasīmāpi viruddhā tasmā tesaṃ
vinassanti. Saṇṭhahantampi ekato saṇṭhahati. Tassa vināsoca saṇṭhahantañca evaṃ veditabbaṃ	vinassanti saṇṭhahantam pi ekatas saṇṭhahati tassa evam veditabbam 	vinassanti saṇṭhahantam pi ekato saṇṭhahati tassa vināso ca saṇṭhahantañ ca evam veditabbam
gokhāyitamattesu jātesu gadrabharavaṃ viravanto ekabindupi na patati. Yadā pacchinnameva	go khāyita mattesu jātesu na patati yadā pacchinnam eva 	go khāyita mattesu jātesu gadrabha ravaṃ viravanto eka bindu pi na patati yadā pacchinnam eva
nāma pāpaṃ natthi, yato saṃsārakhāṇubhāvova nāma hotīti āha “diṭṭhi paramāni bhikkhave	nāma pāpam natthi yatas nāma hoti iti āha diṭṭhi paramāni bhikkhave 	nāma pāpam natthi yato saṃsārakhāṇubhāvova nāma hoti iti āha diṭṭhi paramāni bhikkhave
aṅgulipabbatemanamattampi udakaṃ na saṇṭhāti. Tato dīghassa addhuno accayena chaṭṭho	udakam na saṇṭhāti tatas dīghassa addhunaḥ accayena chaṭṭhaḥ 	aṅgulipabbate manamattampi udakam na saṇṭhāti tato dīghassa addhuno accayena chaṭṭho
mahantaṃ udakarāsiṃ vāto ghanaṃ karotīti ce. Vivarasampadānato taṃ vā tena piṇḍiyamānaṃ	mahantam udaka rāsim vātaḥ ghanam karoti iti tam vā tena piṇḍiyamānam 	mahantam udaka rāsim vāto ghanam karoti iti ce vivarasampadānato tam vā tena piṇḍiyamānam
paranimmitavasavattī, nimmānaratī, tusitā, yāmāti cattāro kāmāvacaradevalokā pātubhavanti.	cattāraḥ kāmāvacara deva lokā pātubhavanti 	paranimmitavasavattī nimmānaratī tusitā yāmā ti cattāro kāmāvacara deva lokā pātubhavanti
iminā brahmūnaṃ āyuparicchedaṃ appatvāva kammakkhayena maraṇaṃ viññāyati. Te honti	iminā āyu paricchedam kamma kkhayena maraṇam viññāyati te honti 	iminā brahmūnaṃ āyu paricchedaṃ appatvāva kamma kkhayena maraṇaṃ viññāyati te honti
hoti te andhakāraṃ disvā bhāyanti. Tato nesaṃ bhayaṃ nāsetvā sūrabhāvaṃ janayantaṃ	te andhakāram disvā bhāyanti tatas bhayam sūra bhāvam janayantam 	hoti te andhakāram disvā bhāyanti tato nesam bhayam nāsetvā sūra bhāvam janayantam
paññāyanti. Anukkamena ca māsaddhamāsautusaṃvaccharā. Candimasūriyānaṃ pana pātubhūtadivaseyeva	paññāyanti anukkamena ca candima sūriyānam pana 	paññāyanti anukkamena ca māsa addhamāsa utu saṃvaccharā candimasūriyānaṃ pana pātubhūta divaseyeva
sinerucakkavāḷahimavantapabbatā pātubhavanti, te ca kho apubbaṃ acarimaṃ phagguṇapuṇṇamadivaseyeva	sineru cakkavāḷa himavanta pabbatā pātubhavanti te ca kho apubbam acarimam 	sineru cakkavāḷa himavanta pabbatā pātubhavanti te ca kho apubbam acarimam phagguṇa puṇṇama divase yeva
āpajjantā sannidhiṃ karonti. Tato pabhuti kaṇopi thusopi taṇḍulaṃ pariyonaddhanti,	āpajjantā sannidhim karonti tatas pabhuti kaṇaḥ upi thusaḥ upi taṇḍulam 	āpajjantā sannidhim karonti tato pabhuti kaṇo upi thuso upi taṇḍulam pariyonaddhanti
Evaṃ candimasūriyapātu bhāvato yāva puna kappavināsakamahāmegho, idaṃ vivaṭṭaṭṭhāyī	evam bhāvataḥ yāva puna kappa vināsaka mahā meghaḥ idam vivaṭṭa ṭṭhāyī 	evam candima sūriya pātu bhāvataḥ yāva puna kappa vināsaka mahā meghaḥ idam vivaṭṭa ṭṭhāyī
ābhassarāti tayopi dutiyajjhānabhūmi udakaṃ gaṇhāti. Tattha tayopi brahmaloke vilīyāpetvā	udakam gaṇhāti tattha tayopi brahmaloke 	ābhassarāti tayopi dutiyajjhānabhūmi udakam gaṇhāti tattha tayopi brahmaloke vilīyāpetvā
yāva kappavināsakaudakaparicchedo saṃvaṭṭo nāma paṭhamamasaṅkhyeyyakappo nāmāti cattāriasaṅkhyeyyakappāni	saṃvaṭṭaḥ nāma paṭhamam asaṅkhyeyya kappaḥ nāma ati cattāri asaṅkhyeyya kappāni 	yāva kappa vināsa kaudaka paricchedo saṃvaṭṭaḥ nāma paṭhamam asaṅkhyeyya kappaḥ nāma ati cattāri asaṅkhyeyya kappāni
eteneva bhūmaṭṭhakavimānāni ākāsaṭṭhakavimānāni ca vināsento chakāmāvacaradevaloke	etena iva bhūma ṭṭhaka vimānāni ākāsa ṭṭhaka vimānāni ca 	etena eva bhūma ṭṭhaka vimānāni ākāsa ṭṭhaka vimānāni ca vināsento cha kāmāvacara devaloke
ābhassarādīsu brahmūnaṃ aṭṭhamahākappādivasena āyu paripuṇṇaṃ siyā, tathā hi paṭhamajjhānatalaṃ	ābhassara ādīsu āyu paripuṇṇam siyā tathā hi paṭhamajjhāna talam 	ābhassara ādīsu brahmūnaṃ aṭṭhamahākappa ādivasena āyu paripuṇṇam siyā tathā hi paṭhamajjhāna talam
Imissā gāthāya “ābhassarāti”ca “subhakiṇhato”ti ca “vehapphalato”ti ca abhividhivasena	imissā gāthāyaḥ ca ca abhividhi vasena 	imissā gāthāya ābhassarāti ca subhakiṇhato ca vehapphalato ca abhividhi vasena
Navabhūmi naṭṭhā vātā, lokanaṭṭhā tadā siyuṃ.	naṭṭhāḥ vātāḥ loka naṭṭhā tadā siyuṃ 	nava bhūmi naṭṭhā vātā loka naṭṭhā tadā siyuṃ
Ābhassaramhi catutthaṃ, parittasubhamhi dve jalaṃ;	catuttham paritta subhamhi dve jalam 	Ābhassaramhi catuttham paritta subhamhi dve jalam
Appamāṇasubhaṃ ekavāraṃ, mataṃ udakasattama”nti.	appamāṇa subham eka vāram matam 	appamāṇa subham eka vāram matam udaka sattama nti
tasmā “ābhassarā”ti ca “subhakiṇhato”ti ca “vehapphalato”ti ca etthābhividhivasena	tasmai ca ca ettha abhividhi vasena 	"tasmā ""ābhassarā"" ti ca ""subhakiṇhato"" ti ca ""vehapphalato"" ti ca ettha abhividhi vasena"
aṅguttaranikāyo parihāyati. Tasmimpi paṭhamaṃ ekādasanipāto…pe… tato ekanipātoti	aṅguttara nikāyo tasmin pi paṭhamam ekādasa nipāta upe tatas eka nipāta uti 	aṅguttara nikāyo parihāyati tasmin pi paṭhamam ekādasa nipāta pe tato eka nipāta iti
pavattati, tāva pariyatti anantarahitāva hoti. Yadā saddho pasanno rājā hatthikkhandhe	pavattati tāva hoti yadā saddhaḥ pasannaḥ rājā hatthikkhandhe 	pavattati tāva pariyatti anantarahitāva hoti yadā saddho pasanno rājā hatthikkhandhe
carāpite na suṇantāpi honti asuṇantāpi, yāva tatiyaṃ carāpetvā gaṇhakaṃ alabhitvā	na suṇantā api honti a suṇantā api yāva tatiyam gaṇhakam a labhitvā 	carāpite na suṇantā api honti a suṇantā api yāva tatiyaṃ carāpetvā gaṇhakaṃ a labhitvā
“mayhaṃ evarūpaṃ rajjaṃ kiṃ vilāsaṃ rajjānubhāvaṃ saddhammaviyogena, divākaravirahito	evarūpam vilāsam rajja anubhāvam saddhamma viyogena divākara virahitaḥ 	mayham evarūpam rajjam kim vilāsam rajja anubhāvam saddhamma viyogena divākara virahitaḥ
kāmesumicchācāro sūkariko orabbhiko sākuṇi ko coro paradāriko taṃ gahetvā sīsacchinnānaṃ	kāmesum icchā ācāraḥ sūkarikaḥ orabbhikaḥ sākuṇikaḥ coraḥ paradārikaḥ tam gahetvā 	kāmesu micchā cāro sūkariko orabbhiko sākuṇiko coro paradāriko taṃ gahetvā sīsacchinnānaṃ
issāmacchariyamāyāsāṭheyyathambhasārambhamānāti mānamadapamādataṇhā’vijjātividhākusalamūladuccaritasaṃkilesamalavisamasaññāvitakka	māna mada apamāda taṇhā vid jāti vidhā kusala mūla duccarita saṃkilesa mala visama saññā vitakka 	issā macchariya māyā sāṭheyya thambha sārambha mānāti māna mada apamāda taṇhā avijjā tividhā akusala mūla duccarita saṃkilesa mala visama saññā vitakka
papañcacatubbidhavipariyesaāsavaganthaoghayogā’gatiganthu’ pādānapañcacetokhilavinibandhanīvaraṇā’bhinandana	pā dāna pañca cetaḥ khila vinibandhanī varaṇa abhinandana 	papañca catubbidha vipariyesa āsava gantha ogha yoga agati ganthu pādāna pañca cetaḥ khila vinibandhanī varaṇa abhinandana
chavivādamūlataṇhākāyasattānusaya aṭṭhamicchattanavataṇhāmūlakadasākusalakammapatha	cha vivāda mūla taṇhā kāya satta anusaya 	cha vivāda mūla taṇhā kāya satta anusaya aṭṭha micchatta nava taṇhā mūlaka dasa akusala kammapatha
dvāsaṭṭhidiṭṭhigata aṭṭhasatataṇhāvicaritappa bheda sabbadarathapariḷāhakilesasatasahassāni,	aṭṭha sata taṇhā vicarita ppa bheda 	dvāsaṭṭhi diṭṭhi gata aṭṭha sata taṇhā vicarita ppa bheda sabba daratha pariḷāha kilesa sata sahassāni
Kappeca satasahasse, caturo ca asaṅkhyeyye.	sata sahasse caturaḥ ca asaṅkhyeyye 	Kappe ca sata sahasse caturo ca asaṅkhyeyye
āgamatopi gatinimittameva yujjati tathā hi tusitapureyeva setaketudevaputto hutvā	āgamataḥ api gati nimittam eva yujjati tathā hi setaketu deva puttaḥ hutvā 	āgamataḥ api gati nimittam eva yujjati tathā hi tusita pure eva setaketu deva puttaḥ hutvā
teneva abhidhammatthasaṅgahādīsu abhidhammattha vibhāvaniyaṃ “maraṇakāle yathārahaṃ	tena iva abhidhamma attha saṅgaha ādīsu maraṇa kāle yathāraham 	tena eva abhidhamma attha saṅgaha ādīsu abhidhammattha vibhāvaniyaṃ maraṇa kāle yathārahaṃ
vā kammabalena channaṃ dvārānamaññatarasmiṃ paccupaṭṭhāsi, tato paraṃ tameva tathopaṭṭhitamālambaṇaṃ	vā kamma balena channam tato param tam eva tathā upaṭṭhitam ālambaṇam 	vā kamma balena channam dvārānam aññatarasmiṃ paccupaṭṭhāsi tato param tam eva tathā upaṭṭhitam ālambaṇam
patiṭṭhāti bhavantare”ti vuttaṃ. Tattha “tatthoṇataṃva cittasantānamabhiṇhaṃ pavattati	patiṭṭhāti bhavantare iti vuttam citta santānam abhiṇham pavattati 	patiṭṭhāti bhavantare iti vuttaṃ tattha tatthoṇataṃva citta santānam abhiṇhaṃ pavattati
Ubhopi rathe ṭhatvā sabbe olokentānaṃyeva tusitapuraṃ agamaṃsu. Imasmiñhi vatthusmiṃ	ubho api rathe ṭhatvā sabbe tusitapuram agamaṃsu imasmin hi vatthusmin 	ubho api rathe ṭhatvā sabbe olokentānaṃ yeva tusitapuram agamaṃsu imasmin hi vatthusmin
Rājā tassa mahallakoti vatvā aññassa coraghātaka kammaṃ dāpesi. So coraghātakakammā	rājā tassa mahallakaḥ iti vatvā aññassa kammam dāpesi saḥ cora ghātaka kammā 	rājā tassa mahallakaḥ iti vatvā aññassa cora ghātaka kammam dāpesi saḥ cora ghātaka kammā
Yo karoti samaṃ pūjaṃ, phalaṃ tāsa samaṃ siyā’ti.	yaḥ karoti samam pūjam phalam samam siyāti 	yo karoti samam pūjam phalam tāsa samam siyāti
ekaṃ, arahattamaggaṭṭho phalaṭṭhoti ekanti cattāri purisayugāni honti. Cattāro maggaṭṭhā	ekam phala ṭṭho ti ekam ti cattāri purisa yugāni honti cattāraḥ magga ṭṭhā 	ekaṃ arahatta magga ṭṭho phala ṭṭho ti ekaṃ ti cattāri purisa yugāni honti cattāro magga ṭṭhā
Vuccatepādakajjhānasammasitajjhānapuggalajjhāsayesupi hi aññataravasena taṃ taṃ jhānasadisavitakkādiaṅgapātubhāvena	hi aññatara vasena tam tam jhāna sadisa vitakka ādi aṅga pātubhāvena 	Vuccate pādaka jhāna sammasita jhāna puggala ajjhāsayesu pi hi aññatara vasena tam tam jhāna sadisa vitakka ādi aṅga pātubhāvena
sattakkhattuparamoti tayo sotāpannā. Kāmarūpārūpabhavesu adhigataphalā tayo sakadāgāminoti	tayo sā utāpannā kāmarūpa arūpa bhavesu adhigata phalā tayo sakadāgāmino ti 	sattakkhattuparamoti tayo sotāpannā kāmarūpa arūpa bhavesu adhigata phalā tayo sakadāgāmino ti
