original	analyzed	corrected
vāyantīti bādhati. Esa nayo nadiyo sandantītiādīsu. Udakaṃ panāti dutiyaṃ kāyaṃ sandhāyāha.	vāyanti iti bādhati udakam panāti dutiyam kāyam sandhāya āha 	vāyanti iti bādhati esa nayo nadiyo sandanti iti ādīsu udakam panāti dutiyam kāyam sandhāya āha
dinnaṃ pana annādivatthuṃ kathaṃ paṭikkhipanti. Esa nayo “yiṭṭhaṃ huta”nti etthāpi.	dinnam pana anna ādi vatthum katham paṭikkhipanti esa nayaḥ ettha api 	dinnam pana anna ādi vatthum katham paṭikkhipanti esa nayo yiṭṭham hutam ti ettha api
“natthi mātā, natthi pitā”ti vadanti, na mātāpitūnaṃ, nāpi tesu idāni kariyamānasakkārāsakkārānaṃ	natthi mātā natthi pitā iti vadanti na mātā pitūnam na api tesu idāni 	natthi mātā natthi pitā iti vadanti na mātā pitūnam na api tesu idāni kariyamāna sakkāra asakkārānam
gahitaāpo viya vassodakabhāvena punapi mahāsamuddaṃ, sūriyaraṃsito gahitaindaggisaṅkhātatejo	vassa udaka bhāvena puna api mahā samuddam sūriya raṃsitaḥ gahita aindaggi saṅkhāta tejaḥ 	gahita āpo viya vassa udaka bhāvena puna api mahā samuddam sūriya raṃsito gahita indaggi saṅkhāta tejo
viya punapi sūriyaraṃsiṃ, mahāvāyukhandhato niggatamahāvāyo viya tameva vāyukhandhaṃ	sūriya raṃsim mahā vāyu khandhataḥ niggata mahā vāyaḥ viya tam eva vāyu khandham 	viya puna api sūriya raṃsim mahā vāyu khandhataḥ niggata mahā vāyaḥ viya tam eva vāyu khandham
“daṇḍena pīḷentassā”ti. Papañcasūdaniyaṃ “tajjentassa cā”ti attho vutto, idha pana	daṇḍena pīḷentassa ati tajjentassa ca ati atthaḥ vuttaḥ idha pana 	daṇḍena pīḷentassa iti Papañcasūdaniyaṃ tajjentassa ca iti attho vutto idha pana
sumaṅgalavilāsiniyaṃ viya tajjanaṃ paribhāsanaṃ daṇḍeneva saṅgahetvā “daṇḍena pīḷentassa”icceva	tad janam paribhāsanam daṇḍena iva saṅgahetvā daṇḍena 	sumaṅgalavilāsiniyaṃ viya tad janam paribhāsanam daṇḍena eva saṅgahetvā daṇḍena pīḷentassa icceva
Gharassa bhitti anto ca bahi ca sandhitā hutvā ṭhitāva gharasandhi. Kiñcipi asesetvā	gharassa bhitti anto ca bahi ca sandhitā hutvā ghara sandhi 	gharassa bhitti anto ca bahi ca sandhitā hutvā ṭhitāva ghara sandhi kiñcipi asesetvā
niccatāya nibbikārattā, sarīraṃ pana acetanaṃ kaṭṭhakaliṅgarūpamaṃ, tasmiṃ vikopitepi	niccatāya sarīram pana acetanam tasmin vikopite pi 	niccatāya nibbikārattā sarīram pana acetanam kaṭṭhakaliṅgarūpamam tasmin vikopite pi
malīnabhāvassa kāraṇaṃ. Visuddhipaccayanti saṃkilesato visuddhiyā vodānassa kāraṇaṃ.	malīna bhāvassa kāraṇam saṃkilesataḥ visuddhiyāḥ vodānassa kāraṇam 	malīna bhāvassa kāraṇaṃ visuddhipaccayanti saṃkilesato visuddhiyā vodānassa kāraṇaṃ
kiñci natthi. Tenāha “yamhī”tiādi. Nidassanamattañcetaṃ, saṃkilesikampi cāyaṃ paṭikkhipateva.	kiñci natthi tena āha yamhi itiādi saṃkilesikam pi ca ayam paṭikkhipatā iva 	kiñci natthi tena āha yamhi itiādi nidassanamattañcetaṃ saṃkilesikam pi ca ayaṃ paṭikkhipati eva
pāṇā, te pana so ekindriyādivasena vibhajitvā vadatīti āha “ekindriyo”tiādi. Aṇḍakosādīsu	te pana saḥ ekindriya ādi vasena vibhajitvā vadati iti āha aṇḍa kosa ādīsu 	pāṇā te pana so ekindriya ādi vasena vibhajitvā vadati iti āha ekindriyo ti ādi aṇḍa kosa ādīsu
sabhāvo eva akittimo eva. Tenāha “yena hī”tiādi. Chaḷabhijātiyo parato vitthārīyanti.	sabhāvaḥ eva akittimaḥ eva tena āha yena hi itiādi paratas 	sabhāvaḥ eva akittimaḥ eva tena āha yena hi itiādi chaḷabhijātiyo paratas vitthārīyanti
āha “kūṭaṭṭhā”ti. Yamidaṃ “bījādito aṅkurādi jāyatī”ti vuccati, tañca vijjamānameva	āha yam idam bīja āditaḥ aṅkura ādi jāyati iti vuccati tat ca vijjamānam eva 	āha kūṭaṭṭhā iti yam idam bīja āditaḥ aṅkura ādi jāyati iti vuccati tat ca vijjamānam eva
cāti neva koci hantā ghātetā vā. Tenāha “sattannantvevā”tiādi. Yadi koci hantā natthi,	ca ati na iva koci hantā ghātetā vā tena āha yadi koci hantā natthi 	ca ati na iva koci hantā ghātetā vā tena āha sattannantvevā ti ādi yadi koci hantā natthi
Pamukhayonīnanti manussatiracchānādīsu khattiyabrāhmaṇādisīhabyagghādivasena padhānayonīnaṃ.	manussa tiracchāna ādīsu khattiya brāhmaṇa ādi sīha byaggha ādi vasena padhāna yonīnam 	Pamukha yonīnanti manussa tiracchāna ādīsu khattiya brāhmaṇa ādi sīha byaggha ādi vasena padhāna yonīnam
Pavuṭāti sabbagaṇṭhikā. Paṇḍitopi…pe… uddhaṃ na gacchati. Kasmā? Sattānaṃ saṃsaraṇakālassa niyatabhāvato.	sabbagaṇṭhikā uddham na gacchati kasmā sattānam saṃsaraṇa kālassa niyata bhāvataḥ 	Pavuṭā ti sabbagaṇṭhikā paṇḍito pi pe uddhaṃ na gacchati kasmā sattānaṃ saṃsaraṇa kālassa niyata bhāvato
pavattaṃ adhimokkhaṃ. Dassanampi sammattaṃ, taṃsijjhānavasena pavattaniyāmo sammattaniyāmo,	pavattam adhimokkham dassanam pi sammattam pavatta niyāmo sammatta niyāmo 	pavattam adhimokkham dassanam pi sammattam tam sijjhāna vasena pavatta niyāmo sammatta niyāmo
332-340. Na evaṃ hotīti ettha “ahaṃ samāpajjāmī”ti vā, “ahaṃ samāpanno”ti vā mā hotu	na evam hoti iti ettha aham samāpajjāmi iti vā aham samāpannaḥ ti vā mā hotu 	na evam hoti iti ettha aham samāpajjāmi iti vā aham samāpanno iti vā mā hotu
vuttaṃ. Tena vuttaṃ “yaṃ kiñci gamanapaccaya”nti. Patthanaṃ katvā…pe… tattha nibbattanti	vuttam tena vuttam yam kiñci patthanam katvā āpe tattha nibbattanti 	vuttam tena vuttam yam kiñci gamanapaccayanti patthanam katvā āpe tattha nibbattanti
Tattha kambalassatarā dhataraṭṭhāti ime jātivasena vuttā. Sattasīdantaravāsinoti	tattha kambalassatarā dhataraṭṭhā ti ime jāti vasena vuttā 	tattha kambalassatarā dhataraṭṭhā ti ime jāti vasena vuttā sattasīdantaravāsino ti
438-549. Mūlagandhādibhedaṃ gandhaṃ avanti apayuñjantīti gandhabbā, tesaṃ kāyo samūho	mūla gandha ādi bhedam gandham avanti apayuñjanti iti gandhabbā tesam kāyaḥ samūhaḥ 	mūla gandha ādi bhedam gandham avanti apayuñjanti iti gandhabbā tesam kāyo samūho
“so hī”tiādimāha. Upakappatīti nivāsaṭṭhānabhāvena viniyuñjati. Gandhagandheti gandhānaṃ	saḥ hi itiādim āha upakappati iti nivāsa ṭṭhāna bhāvena viniyuñjati gandha gandha iti 	saḥ hi itiādim āha upakappati iti nivāsa ṭṭhāna bhāvena viniyuñjati gandha gandha iti gandhānaṃ
patthanā. Yathādhippetaphalāni sarikkhadānattāva adhippetaphalaṃ dentu, asarikkhadānaṃ	patthanā yathā adhippeta phalāni adhippeta phalam dentu a sarikkha dānam 	patthanā yathā adhippeta phalāni sarikkha dānattā va adhippeta phalam dentu a sarikkha dānam
kathanti? Tampi detiyeva puññassa sabbakāmadadattāti āha “asarikkhadānampī”tiādi.	katham ti tam pi detiyā iva puññassa āha a sarikkha dānam pi itiādi 	katham ti tam pi detiyā iva puññassa sabba kāma dada ttā ti āha a sarikkha dānam pi iti ādi
Tesaṃ samūho valāhakadevakāyoti āha “valāhakakāyikā”tiādi. Sītakaraṇavalāhakāti sītaharaṇavalāhakā.	tesam samūhaḥ āha valāhaka kāyikā atiādi sīta karaṇa valāhakā ati sīta haraṇa valāhakā 	tesam samūhaḥ valāhaka devakāyo ti āha valāhaka kāyikā ti atiādi sīta karaṇa valāhakā ti sīta haraṇa valāhakā
662. Samādhikusaloti samādhismiṃ kusalo. Tayidaṃ samādhikosallattaṃ saha jhānaṅgayogena	samādhi kusalaḥ iti samādhismin kusalaḥ saha jhāna aṅga yogena 	samādhi kusalo iti samādhismin kusalo tayidaṃ samādhi kosallaṃ saha jhāna aṅga yogena
pana kusaloti atthoti āha – “jhānaṃ ṭhapetuṃ akusalo”ti. Sattaṭṭhaaccharāmattanti	pana kusalaḥ ti attho ti āha jhānam ṭhapetum akusalaḥ ti 	pana kusalaḥ ti attho ti āha jhānam ṭhapetum akusalaḥ ti sattaṭṭhaaccharāmattan ti
sattaṭṭhaaccharāmattaṃ khaṇaṃ jhānaṃ ṭhapetuṃ na sakkoti adhiṭṭhānavasībhāvassa anipphāditattā.	khaṇam jhānam ṭhapetum na sakkoti adhiṭṭhāna vasībhāvassa a nipphādita ttā 	sattaṭṭha accharā mattaṃ khaṇam jhānam ṭhapetum na sakkoti adhiṭṭhāna vasībhāvassa a nipphādita ttā
