original	analyzed	corrected
kālamakāsi tissakumāro pitukālakatabhāvaṃ sutvā dīghavāpito āgantvā pitu sarīrakiccaṃ	tissa kumāraḥ pitu kāla kata bhāvam sutvā dīgha vāpitaḥ āgantvā sarīra kiccam 	kāla makāsi tissa kumāro pitu kāla kata bhāvam sutvā dīgha vāpito āgantvā pitu sarīra kiccam
apesana bhāvaṃ ñatvā yuddhāya nikkhami. Kumāropi yuddhasajjohutvānikkhami. Cuḷaṅgaṇiya	apesana bhāvam ñatvā yuddhāya nikkhami kumāraḥ api cuḷaṅgaṇiya 	apesana bhāvam ñatvā yuddhāya nikkhami kumāro api yuddhasajjo hutvā nikkhami cuḷaṅgaṇiya
Te kira yodhā sapathassa katattā tesaṃ yuddhe sahāyā na bhaviṃsu. Tadā rañño anekasahassa	te kira sapathassa tesam yuddhe sahāyāḥ na bhaviṃsu tadā raññaḥ 	te kira yodhā sapathassa katattā tesaṃ yuddhe sahāyā na bhaviṃsu tadā rañño anekasahassa
Rājā kālaṃ sallakkhetvā saṅghassa datvā bhuñjāmiti saṅghassa-amaccassa-vaḷavāya-attano	rājā kālam sallakkhetvā saṅghassa da tvā bhuñjāmiti 	rājā kālam sallakkhetvā saṅghassa da tvā bhuñjāmiti saṅghassa amaccassa vaḷavāya attano
cāti catubhāgaṃ katvā kālā ghosāpesi tadā piyaṅgudipato kuṭumbiyatissatthero nāma	ca ati catu bhāgam katvā tadā kuṭumbiyatissa theraḥ nāma 	ca ati catu bhāgam katvā kālā ghosāpesi tadā piyaṅgudipato kuṭumbiyatissa thero nāma
Saraṇesu ca sīlesu-ṭhitā āsuṃ asaṅkhiyā;	saraṇesu ca sīlesu ṭhitāḥ āsum 	saraṇesu ca sīlesu ṭhitā āsum asaṅkhiyā
Sotāpattiphalaṃ patvā-sele sumanakūṭake,	sa utāpatti phalam sumanakūṭake 	sa utāpatti phalam patvā sele sumanakūṭake
Evamaccāyikaṃ kammaṃ-karontāpi guṇākarā, karonti puññaṃ sappaññā-saṃsārabhasa bhīrukāti.	evam accāyikam kammaṃkarontā api guṇa ākarā karonti puññam bhīrukā ati 	evam accāyikam kammaṃ karontā api guṇa ākarā karonti puññam sappaññā saṃsāra bhasa bhīrukā ti
damiḷaṃ-hālakole mahissariya damiḷaṃ-nāḷisobbhe nāḷika damiḷaṃ-dighābhasagallamhi	mahissariya damiḷaṃ nāḷisobbhe nāḷika 	damiḷaṃ hālakole mahissariya damiḷaṃ nāḷisobbhe nāḷika damiḷaṃ dighābhasagallamhi
tato veṭha nagare tāḷa damiḷaṃ, bhāṇakadamiḷañca-vahiṭṭhe vahiṭṭha damiḷaṃ=gāmaṇimhi	tatas veṭha nagare tāḷa damiḷam vahiṭṭha damiḷaṃgāmaṇimhi 	tato veṭha nagare tāḷa damiḷaṃ bhāṇakadamiḷañca vahiṭṭhe vahiṭṭha damiḷaṃgāmaṇimhi
khāṇu damiḷaṃ-tambunnagāmake mātula bhāgineyye dve damiḷe gaṇhi tadā-	mātula bhāgineyye dve damiḷe tadā 	khāṇu damiḷaṃ tambunnagāmake mātula bhāgineyye dve damiḷe gaṇhi tadā
Jālavaṇṇaṃva hotūti-taṃ tatheva tadā ahu;”	jāla vaṇṇam iva hotu utitam tathā iva tadā ahu 	jāla vaṇṇam iva hotu iti tam tathā eva tadā ahu
kaṇḍulaṃ muñcesi. Kaṇḍulopi taṃ gaṇhituṃ āgañchi tadā naṇdhimitto hatthetahi ubho	kaṇḍulam muñcesi kaṇḍulaḥ api tam gaṇhitum tadā naṇdhi mittaḥ ubho 	kaṇḍulam muñcesi kaṇḍulaḥ api tam gaṇhitum āgañchi tadā naṇdhi mittaḥ hatthetahi ubho
kaṇḍulo jāṇuhi ṭhatvā silā sudhā iṭṭhakā bhiṇditvā ayodvāraṃ pāpuṇi tadā damiḷā gopure	kaṇḍulaḥ silā sudhā iṭṭhakā bhiṇditvā ayaḥ dvāram tadā damiḷā gopure 	kaṇḍulaḥ jāṇuhi ṭhatvā silā sudhā iṭṭhakā bhiṇditvā ayaḥ dvāram pāpuṇi tadā damiḷā gopure
ṭhatvā nānāvudhāni khipiṃsu pakka ayoguḷe cevapakkaṭṭhita silesañca hatthipiṭṭhiyaṃ	ṭhatvā nānā vudhāni ayaḥ guḷe silesam ca hatthipiṭṭhiyam 	ṭhatvā nānā vudhāni khipiṃsu pakka ayaḥ guḷe ceva pakkaṭṭhita silesam ca hatthipiṭṭhiyam
pakkhipiṃsu? Tadā kaṇḍulo vedanaṭṭo udakaṭṭhānaṃ gantvā udake ogāhi. Tadā goṭhayimbaro	tadā kaṇḍulaḥ vedanaṭṭaḥ udaka ṭṭhānam gantvā udake ogāhi tadā goṭha yimbaraḥ 	pakkhipiṃsu tadā kaṇḍulo vedanaṭṭo udaka ṭṭhānaṃ gantvā udake ogāhi tadā goṭha yimbaro
tassupari telacammaṃ baṇdhitvā taṃ vissajjesi so asani viyagajjanto gantvā dāṭhāhi	tassa upari tela cammam baṇdhitvā tam vissajjesi saḥ asani gantvā 	tassa upari tela cammam baṇdhitvā tam vissajjesi so asani viya gajjanto gantvā dāṭhāhi
laḍḍītvā nagarabbhantare pati goṭhayimbaropi - soṇopi - theraputtābhayopi ekeka dvāraṃ	laḍḍītvā nagara bbhantare pati goṭha yimbaraḥ api soṇaḥ api dvāraṃ 	laḍḍītvā nagara bbhantare pati goṭha yimbaraḥ api soṇaḥ api theraputta ābhayaḥ api ekeka dvāraṃ
“Hatthi gahetvā rathacakkaṃ-mitto sakaṭa pañjaraṃ,	hatthi gahetvā sakaṭa pañjaram 	hatthi gahetvā rathacakkaṃ mitto sakaṭa pañjaraṃ
Nāḷikerataruṃ goṭho-nimmalo khaggamuttamaṃ;	nāḷikera tarum khaggam uttamam 	nāḷikera tarum goṭho nimmalo khaggam uttamam
dīghajantu paṭhamaṃ imaṃ māremīti kujjhitvā ākasamabbhuggantvā attanopari otarantaṃ	paṭhamam imam mā āremi iti kujjhitvā ākasam abbhut gantvā attanā upari otarantam 	dīghajantu paṭhamam imam māremī iti kujjhitvā ākasam abbhuggantvā attano upari otarantam
mīti cintetvā phalakaṃ pahari. Itaro phalakaṃ muñci, dīghajantu phalakaṃ chiṇdanto	cintetvā phalakam itaraḥ phalakam muñci phalakam 	mīti cintetvā phalakaṃ pahari itaro phalakaṃ muñci dīghajantu phalakaṃ chiṇdanto
Carāpetvā tahiṃ bheriṃ-duṭṭhagāmiṇi bhūpati,	tahim bheriṃduṭṭha gāmiṇi bhūpati 	Carāpetvā tahiṃ bheriṃ duṭṭha gāmiṇi bhūpati
Tato vijita saṅgāmo-sayoggabalavāhano,	tatas saṅgā mosa yogga bala vāhanaḥ 	tato vijita saṅgāmo sa yogga bala vāhano
kāretvā parihāramadāsi. Ajjapi rājāno taṃ padesampatvā bheriṃ na vādāpenti. Evaṃ	kāretvā ajja pi rājānaḥ tam padesam patvā bherim na evam 	kāretvā parihāram adāsi ajja pi rājāno tam padesam patvā bherim na vādāpenti evam
duṭṭhagāmaṇi abhaya mahārājā dvattiṃsa damiḷa rājāno māretvā laṅkādīpaṃ ekacchattamakāsi.	abhaya mahā rājā dvattiṃsa damiḷa rājānaḥ māretvā laṅkā dīpam 	duṭṭha gāmaṇi abhaya mahā rājā dvattiṃsa damiḷa rājāno māretvā laṅkā dīpaṃ eka chattam akāsi
Yadā duṭṭhagāmaṇi vijitaṃ nagaraṃ gaṇhi tadā dīghajantu yodho eḷāraṃ upasaṅkamitvā	yadā vijitam nagaram tadā dīghajantu yodhaḥ eḷāram upasaṅkamitvā 	yadā duṭṭhagāmaṇi vijitam nagaram gaṇhi tadā dīghajantu yodho eḷāram upasaṅkamitvā
rājābhimukho agañchi. Tadā kaṇḍulo tassa vegamaṇdi bhāvatthaṃ sanikaṃ sanikaṃ paccosakaki	rāja abhimukhaḥ agañchi tadā kaṇḍulaḥ tassa bhāvattham sanikam sanikam 	rāja abhimukhaḥ agañchi tadā kaṇḍulaḥ tassa vega aṇdi bhāvattham sanikam sanikam paccosakaki
senāpi hatthinā saddhiṃ tatheva paccosakaki.	senā api hatthinā saddhim tathā iva 	senā api hatthinā saddhim tathā eva paccosakaki
taṃ akkosi rañño mukhe vijjhissāmīti saraṃ khipi. So khaggatala māgaccabhūmiyaṃ pati,	tam raññaḥ mukhe vijjhissāmi iti saram khipi saḥ 	tam akkosi rañño mukhe vijjhissāmi iti saram khipi so khaggatala māgaccabhūmiyam pati
idañcidañca kāressatīti sutvā haṭṭho udaggo appoṭhesi-ayyena kira vatamhi diṭṭho mahā mahiṇdenāti.	idam ca idam ca kāressati iti sutvā haṭṭhaḥ udaggaḥ kira vatamhi diṭṭhaḥ mahā mahiṇdena ati 	idam ca idam ca kāressati iti sutvā haṭṭho udaggo appoṭhesi ayyena kira vatamhi diṭṭho mahā mahiṇdena iti
ca. Vessavanassa nārivābhanayānaṃ sutvā tadākāraṃ majjhe ratana maṇḍapaṃ kāresi.	ca vessavanassa sutvā tad ākāram majjhe maṇḍapam kāresi 	ca vessavanassa nārivābhanayānaṃ sutvā tad ākāram majjhe ratana maṇḍapam kāresi
sattaratana vicittamaṇḍapa majjhe pana eḷikamaya bhūmiyā dantamaya pallaṅko ahosi	majjhe pana eḷika maya bhūmiyā danta maya pallaṅkaḥ ahosi 	satta ratana vicitta maṇḍapa majjhe pana eḷika maya bhūmiyā danta maya pallaṅko ahosi
tepiṭakā, tatiyādisu tīsu bhūmisu kamena sotāpanna - sakadāgāmi - anāgāmino, upari	tepiṭakā tatiya ādisu tīsu bhūmisu upari 	tepiṭakā tatiya ādisu tīsu bhūmisu kamena sotāpanna sakadāgāmi anāgāmino upari
taṃyeva iṭṭhaka gopanaṃ kāresi. Tato rājā ahameva iṭṭhakolokanatthāya gacchāmi -	gopanam kāresi tatas rājā aham eva iṭṭhaka olokana tthāya gacchāmi 	tam yeva iṭṭhaka gopanam kāresi tato rājā aham eva iṭṭhaka olokana tthāya gacchāmi
peḷivāpi gāmassa vāpiyā otiṇṇa kaṇdare pulina puṭṭhe nisadapotappamāṇa dīghato vidatthicaturaṅgulā	gāmassa vāpiyā otiṇṇa kaṇdare pulina puṭṭhe dīghataḥ vidatthi catur aṅgulā 	peḷivāpi gāmassa vāpiyā otiṇṇa kaṇdare pulina puṭṭhe nisadapotappamāṇa dīghato vidatthi catur aṅgulā
iṭṭhakā attharāpesi. Iṭṭhakopari kharasukammaṃ, tassoparikuruviṇdapāsāṇaṃ, tassopariayojālaṃ,	iṭṭhakā iṭṭhakā upari kharasukammam tassa upari kuruviṇda pāsāṇam tassa upari ayojālam 	iṭṭhakā attharāpesi iṭṭhakā upari kharasukammam tassa upari kuruviṇda pāsāṇam tassa upari ayojālam
tassopari tilatelayantintāya manosilāya sattaṅgula bahalaṃ rajatapaṭṭaṃ attharāpesi	tassa upari manosilāya bahalam rajata paṭṭam attharāpesi 	tassa upari tila tela yantintāya manosilāya sattaṅgula bahalam rajata paṭṭam attharāpesi
alasaṇdā nagarato yonaka dhammarakkhitatthero tiṃsa bhikkhu sahassāni. Viñjhāṭavivattaniya	alasaṇdā nagarataḥ dhammarakkhita thero tiṃsa bhikkhu sahassāni 	alasaṇdā nagarato yonaka dhammarakkhita thero tiṃsa bhikkhu sahassāni viñjhāṭavivattaniya
adhippāyaṃ ñatvā tathā ṭhitāti vadantī siddhatthero pana maṅgalo-sumano-padumo-sīvali-caṇdagutto-sūriyagutto-iṇdagu-	adhippāyam ñatvā tathā ṭhitā ati vadantī siddha ttheraḥ pana 	adhippāyam ñatvā tathā ṭhitā ati vadantī siddha ttheraḥ pana maṅgalo sumano padumo sīvali caṇdagutto sūriyagutto iṇdagu
tto-sāgaro-cittaseno -jayaseno-acaloti imehi ekādasahi therehi parivuto puṇṇaghaṭe	imehi ekādasahi therehi parivutaḥ puṇṇa ghaṭe 	tto sāgaro cittaseno jayaseno acaloti imehi ekādasahi therehi parivutaḥ puṇṇa ghaṭe
paribbhamana daṇḍaṃ vijjamānamātāpitūnaṃ ubhato sujātena sumaṇḍita pasādhitena abhimaṅgala	daṇḍam vijjamāna mātā pitūnam ubhatas su jātena su maṇḍita pasādhitena 	paribbhamana daṇḍam vijjamāna mātā pitūnam ubhato su jātena su maṇḍita pasādhitena abhimaṅgala
nāmaṃ pucchitvā gaṇdhamālādīhi pūjetvā vambatvā parivāretvā ṭhite sesa ekādasa there	nāmam pucchitvā gaṇdha mālā ādīhi pūjetvā parivāretvā ṭhite there 	nāmam pucchitvā gaṇdha mālā ādīhi pūjetvā vambatvā parivāretvā ṭhite sesa ekādasa there
Atha aṭṭha suvaṇṇiṭṭhakā ṭhapāpesi. Tāsu ekekaṃ parivāretvā aṭṭhuttarasata aṭṭhuttarasata	atha aṭṭha tāsu ekekam parivāretvā aṭṭhuttara sata aṭṭhuttara sata 	atha aṭṭha suvaṇṇiṭṭhakā ṭhapāpesi tāsu ekekam parivāretvā aṭṭhuttara sata aṭṭhuttara sata
Tasmiṃ khaṇe mittatthero nāma puratthima disābhāge paribbhamita lekhāya bhūmiyaṃ	tasmin khaṇe mitta theraḥ nāma puratthima disā bhāge lekhāya 	tasmin khaṇe mitta theraḥ nāma puratthima disā bhāge paribbhamita lekhāya bhūmiyaṃ
21. Tato rājā bhikkhusaṅghaṃ vaṇditvā yāca mahācetiyaṃ niṭṭhātināva me bhikkhusaṅgho	tatas rājā bhikkhu saṅgham vaṇditvā yāca mahā cetiyam me bhikkhu saṅghaḥ 	tatas rājā bhikkhu saṅgham vaṇditvā yāca mahā cetiyam niṭṭhāti nāva me bhikkhu saṅghaḥ
vaḍḍhaki santipātesi. Te pañcasatamattā ahesuṃ.	vaḍḍhaki te pañca sata mattāḥ ahesuṃ 	vaḍḍhaki santipātesi te pañca sata mattāḥ ahesuṃ
Rājā tassa saññaṃ adāsi. To tvaṃ tayo jātisumana makulakumbhe mahābodhi aṅgaṇe rāsiṃ	rājā tassa saññam adāsi to tvam aṅgaṇe 	rājā tassa saññam adāsi to tvam tayo jātisumana makulakumbhe mahābodhi aṅgaṇe rāsim
ahosi. So āgantvā vaḍḍhakinā saddhiṃ mantetvā dīgha bahala kiriyato iṭṭhakappamāṇaṃ	ahosi saḥ āgantvā vaḍḍhakinā saddhim mantetvā 	ahosi saḥ āgantvā vaḍḍhakinā saddhim mantetvā dīgha bahala kiriyato iṭṭhakappamāṇaṃ
āgantukā nevāsikāti pucchi. Āgantukomhī upāsakāti. Katara raṭṭhavāsiko bhanteti koṭṭhivālajanapade	āgantukā nevāsikā ati upāsakā ati raṭṭhavāsikaḥ bhante iti koṭṭhivāla janapade 	āgantukā nevāsikā iti pucchi āgantuko amhi upāsakā ati katara raṭṭhavāsikaḥ bhante iti koṭṭhivāla janapade
Tumhākaṃ sarīrālokena sakalatambapaṇṇidipo ekāloko, kiṃ kammaṃ karitthāti bhante	tumhākam sarīra ālokena eka āloko kim kammam karittha ati bhante 	tumhākam sarīra ālokena sakala tambapaṇṇi dipo eka āloko kim kammam karittha ati bhante
rājā bhikkhusaṅghaṃ gaṇdhamālādīhi pūjetvā vaṇditvā pucchi’bhante mahācetiye pupphadhānattayaṃ	rājā bhikkhu saṅgham gaṇdha mālā ādīhi pūjetvā vaṇditvā mahā cetiye 	rājā bhikkhu saṅgham gaṇdha mālā ādīhi pūjetvā vaṇditvā pucchi bhante mahā cetiye pupphadhāna ttayaṃ
āharathāti. Te sādhūti sampaṭicchitvā uttarakuruṃ gantvā cuttappakārappamāṇe bhaṇḍipupphanihecha	āharatha ati te sādhu iti sampaṭicchitvā uttarakurum gantvā cutta ppakāra ppamāṇe 	āharatha ati te sādhu iti sampaṭicchitvā uttarakurum gantvā cutta ppakāra ppamāṇe bhaṇḍi puppha nihecha
phalā pavāḷamayāni. Tathā aṅkuropari celavitānaṃ baṇdhāpesi. Tassa ante samannato	tathā aṅkura upari cela vitānam baṇdhāpesi tassa ante samannataḥ 	phalā pavāḷamayāni tathā aṅkura upari cela vitānam baṇdhāpesi tassa ante samannato
muttamaya kiṅkiṇikajālaṃ olambati. Svaṇṇaghaṇṭāpanti ca suvaṇṇadāmāni ca tahiṃ tahiṃ	kiṅkiṇika jālam olambati ca suvaṇṇa dāmāni ca tahim tahim 	muttamaya kiṅkiṇika jālam olambati svaṇṇa ghaṇṭā panti ca suvaṇṇa dāmāni ca tahim tahim
olambanti vitānassa catusu kaṇṇesu navasatasahassagghanako ekeko muttākalāpo olambati.	olambanti vitānassa catusu kaṇṇesu ekekaḥ muttā kalāpaḥ olambati 	olambanti vitānassa catusu kaṇṇesu navasatasahassagghanako ekeko muttā kalāpo olambati
Tattha yathānurūpaṃ nānāratana katāneva caṇda-sūriya-tārakārūpāni padumāni ca appitāni	tattha yathānurūpam caṇda sūriya tārakā rūpāni padumāni ca 	tattha yathānurūpaṃ nānāratana katāneva caṇda sūriya tārakā rūpāni padumāni ca appitāni
muttā vedikānaṃ antare gaṇdhodaka puṇṇa sattaratanamaya puṇṇaghaṭa pantiyo ṭhapāpesi.	vedikānaṃ antare gaṇdha udaka puṇṇa satta ratana maya puṇṇa ghaṭa 	muttā vedikānaṃ antare gaṇdha udaka puṇṇa satta ratana maya puṇṇa ghaṭa pantiyo ṭhapāpesi
Maṇighaṭe rajatamayāni pupphāni rajataghaṭe maṇimayānipupphāti. Sattaratanaghaṭe	maṇi ghaṭe rajata mayāni pupphāni rajata ghaṭe satta ratana ghaṭe 	maṇi ghaṭe rajata mayāni pupphāni rajata ghaṭe maṇi mayāni pupphāti satta ratana ghaṭe
Vasavattimārampana bāhusahassaṃ māpetvā tisūla muggarādi nānāvudhāni gahetvā sahassakumbhaṃ	bāhu sahassam māpetvā muggara ādi nānā vudhāni gahetvā sahassa kumbham 	Vasavatti māram pana bāhu sahassam māpetvā ti sūla muggara ādi nānā vudhāni gahetvā sahassa kumbham
tebhātika jaṭila damanaṃ, laṭṭhivanuyyāne bimbisāropagamaṇaṃ, rājagahappavesanaṃ,	damanam laṭṭhivan uyyāne bimbisāra upagamaṇam rāja gaha ppavesanam 	tebhātika jaṭila damanam laṭṭhivan uyyāne bimbisāra upagamaṇam rāja gaha ppavesanam
Abhidhamma desanā devorohaṇa pāṭīhīraṃ therapañha samāgamañca kāresi.	abhidhamma desanā thera pañha samāgamam ca kāresi 	abhidhamma desanā devorohaṇa pāṭīhīraṃ thera pañha samāgamam ca kāresi
Tathā mahāsamayasutta-rāhulovāda sutta-maṅgasuttapārāyana sutta samāgamaṃ dhanapāla-āḷavaka-aṅgulimāla-apalāla	tathā dhanapāla āḷavaka aṅgulimāla apalāla 	tathā mahāsamayasutta rāhulovāda sutta maṅgasutta pārāyana sutta samāgamaṃ dhanapāla āḷavaka aṅgulimāla apalāla
dvinnaṃ udakadhārānaṃ patanaṃ uttarābhimukhaṃ sattapadavītihāra gamanaṃ kāḷadevaḷassa	patanam uttara abhimukham gamanam kāḷadevaḷassa 	dvinnam udakadhārānam patanam uttara abhimukham sattapadavītihāra gamanam kāḷadevaḷassa
uyyānasiriṃ anubhavitvā sāyaṇha samaye nahātvā maṅgala silāpaṭṭe nisinnamatta vissakaṭṭhānā	uyyāna sirim anubhavitvā sāyaṇha samaye maṅgala silā paṭṭe 	uyyāna sirim anubhavitvā sāyaṇha samaye nahātvā maṅgala silā paṭṭe nisinnamatta vissakaṭṭhānā
varamāruyha) mahābhinikkhamaṇaṃ nikkhamitaṭṭhānaṃ dasa sahassa) cakkavāḷa devatāhi	varam āruyha mahābhinikkhamaṇam nikkhamita ṭṭhānam dasa devatāhi 	varam āruyha mahābhinikkhamaṇam nikkhamita ṭṭhānam dasa sahassa cakkavāḷa devatāhi
khaggadharā devatāyo tato pañcahatthappamāṇa gaṇdhitelapūritā dukūlavaṭṭiyaṃ pajjalita	khagga dharāḥ devatāyaḥ tatas gaṇdhi tela pūritāḥ dukūla vaṭṭiyam 	khagga dharā devatāyo tato pañca hattha pamāṇa gaṇdhi tela pūritā dukūla vaṭṭiyaṃ pajjalita
suvaṇṇa-maṇi-mutta-vajirānaṃ cattāro rāsiyo kāresi tato meghavaṇṇa pāsāṇabhittiyaṃ	cattāraḥ rāsiyaḥ kāresi tatas meghavaṇṇa pāsāṇa bhittiyam 	suvaṇṇa maṇi mutta vajirānaṃ cattāro rāsiyo kāresi tato meghavaṇṇa pāsāṇa bhittiyaṃ
vijjullatā kāresi tato ratana latāyo tato cāḷavijatiyo tato niluppale gahetvā ṭhita	vijjullatā kāresi tatas tatas tatas 	vijjullatā kāresi tato ratana latāyo tato cāḷavijatiyo tato niluppale gahetvā ṭhita
kāresīti. Ettha ca vuttappakārampana pūjanīyabhaṇḍaṃ anantamaparimāṇaṃ hoti tathā	kāresi iti ettha ca pūjanīya bhaṇḍam anantama parimāṇam hoti tathā 	kāresi iti ettha ca vuttappakāram pana pūjanīya bhaṇḍam anantam aparimāṇam hoti tathā
hi ambapāsānavāsī cittaguttattheronāma heṭṭhā lohapāsāde sannipatitānaṃ dvādasannaṃ	hi ambapāsānavāsī cittagutta theraḥ nāma heṭṭhā loha pāsāde 	hi ambapāsānavāsī cittagutta thero nāma heṭṭhā loha pāsāde sannipatitānaṃ dvādasannaṃ
tava kathāto parihīnampi atthi. Apacco sakakitvā vitthārena kathehīti āha. Atha imasmiṃyeva	tava kathātaḥ parihīnam api atthi vitthārena kathehi iti āha atha imasmiṃyeva 	tava kathāto parihīnam api atthi apacco sakakitvā vitthārena kathehi iti āha atha imasmiṃyeva
adhikāraṃ kathetvā pariyosāpetumasakkāntoseva uṭṭhāsi. Tattheko bhikkhu rājānaṃ pucchi-mahārāja	adhikāram kathetvā uṭṭhāsi tattha ekaḥ bhikkhu rājānam pucchi mahā rāja 	adhikāram kathetvā pariyosāpetum asakkonto eva uṭṭhāsi tattha eko bhikkhu rājānam pucchi mahā rāja
tāva dhātugabbho yāva mahācetiye vāluka pākāra paricchedā nirantaraṃ puretumpi na	tāva dhātu gabbhaḥ yāva mahā cetiye na 	tāva dhātu gabbhaḥ yāva mahā cetiye vāluka pākāra paricchedā nirantaraṃ puretumpi na
Kammādhiṭṭhāyako ettha-sabbaṃ saṃvidahi imaṃ;	kamma adhiṭṭhāyakaḥ ettha sabbam imam 	kamma adhiṭṭhāyakaḥ ettha sabbam saṃvidahi imam
otarantuti. Sakkopi vissakammaṃ āṇāpesi-sve mahācetiye dhātunidhānaṃ bhavissati.	otarantu ti mahā cetiye dhātu nidhānam bhavissati 	otarantu ti sakkopi vissakammam āṇāpesi sve mahā cetiye dhātu nidhānam bhavissati
Dhātu ānubhāvena sakala cakkavāḷaṃ gabbhokkamanābhisambodhikālādisu viya sajjitaṃ	sakala cakkavāḷam gabbha ukkamana abhisambodhi kāla ādisu sajjitam 	Dhātu ānubhāvena sakala cakkavāḷam gabbha okkamana abhisambodhi kāla ādisu viya sajjitam
pupphāni samokiritvā nānāvirāga dhajapaṭākāyo ussāpetvā suvaṇṇaghaṭa kadalitoraṇa	pupphāni samokiritvā ussāpetvā suvaṇṇa ghaṭa kadali toraṇa 	pupphāni samokiritvā nānāvirāga dhajapaṭākāyo ussāpetvā suvaṇṇa ghaṭa kadali toraṇa
Atha rājā sabbābharaṇa vibhūsito kumuda pannavaṇṇa catusiṇdhavayutta rathavaramāruyha	atha rājā sabba ābharaṇa vibhūsitaḥ ratha varam āruyha 	atha rājā sabba ābharaṇa vibhūsitaḥ kumuda panna vaṇṇa catu sindhava yutta ratha varam āruyha
devakaññupamā aneka sahassa nāṭakitthiyo ceva dasamahāyodhā ca caturaṅginī senā ca	aneka sahassa ca iva dasa mahā yodhā ca caturaṅginī senā ca 	deva kaññupamā aneka sahassa nāṭakitthiyo ca eva dasa mahā yodhā ca caturaṅginī senā ca
nānāvaṇṇa dhaje ca gahetvā parivāresuṃ. Evaṃ rājā mahantena rājānubhāvena naṇdanavanaṃ	ca gahetvā evam rājā mahantena rāja anubhāvena naṇdana vanam 	nānāvaṇṇa dhaje ca gahetvā parivāresuṃ evaṃ rājā mahantena rāja anubhāvena naṇdana vanaṃ
Mahārāja tambapaṇṇidīpe duṭṭhagāmaṇi abhaya mahārājā mahā cetiyaṃ kārento dhātuyo	mahā rāja tambapaṇṇi dīpe abhaya mahā rājā mahā cetiyam kārentaḥ 	mahā rāja tambapaṇṇi dīpe duṭṭhagāmaṇi abhaya mahā rājā mahā cetiyam kārentaḥ dhātuyo
kathetvā dhātuyo āharāti maṃ pesesuṃ, tasmā idhāgatomhīti āha.	kathetvā mam pesesum tasmai idha āgataḥ asmi iti āha 	kathetvā dhātuyo āharāti maṃ pesesuṃ tasmā idha āgato asmi iti āha
dhātuyo. Saṃsāradukkhamokkhāya-uppajjanta tathāgatā, buddhassa vetthādīppāyo-tena	dhātuyaḥ saṃsāra dukkha mokkhāya uppajjanta tathāgatāḥ buddhassa 	dhātuyaḥ saṃsāra dukkha mokkhāya uppajjanta tathāgatāḥ buddhassa vetthā dīppāyo tena
Tasmā papañcamakaritvā-lahuṃ me dehi dhātuye”ti-āha. Evaṃ vutte nāgarājā appaṭihāno	tasmai me dehi dhātuyā iti āha evam vutte nāga rājā appaṭihānaḥ 	tasmā papañcam akaritvā lahuṃ me dehi dhātuyā iti āha evaṃ vutte nāga rājā appaṭihāno
“Bhāgineyyo’tha kucchimhi-apassitvā karaṇḍakaṃ,	kucchimhi a passitvā karaṇḍakam 	Bhāgineyyo atha kucchimhi a passitvā karaṇḍakam
labhitvā cīraparihaṭa dhātuyo kasmā anavasesaṃ katvā aharāpetha amhākaṃ saggamokkhantarāyaṃ karothāti.	labhitvā kasmai anavasesam katvā aharāpetha amhākam sagga mokkha antarāyam karotha ati 	labhitvā cīraparihaṭa dhātuyo kasmā anavasesaṃ katvā aharāpetha amhākaṃ sagga mokkha antarāyaṃ karotha iti
Maṇitālavaṇṭaṃ suyāmo-sakko saṅkhantu sodakaṃ;	maṇi tāla vaṇṭam saṅkhantu sa udakam 	maṇi tāla vaṇṭam suyāmo sakko saṅkhantu sa udakam
Cattāro tu mahārāja-aṭṭhaṃsu khaggapāṇino,	cattāraḥ tu mahā rāja khagga pāṇinaḥ 	cattāro tu mahā rāja aṭṭhaṃsu khagga pāṇino
dhātumatthake setacchattaṃ dissati chattagāhaka brahmā na dissati. Tathā tālavaṇṭa	dhātumatthake seta chattam dissati brahmā na dissati tathā 	dhātumatthake seta chattam dissati chattagāhaka brahmā na dissati tathā tālavaṇṭa
datvā taṃ divasaṃ sakalatambapaṇṇi dīpe rajjaṃ adāsi.	da tvā tam divasam dīpe rajjam adāsi 	datvā taṃ divasaṃ sakala tambapaṇṇi dīpe rajjaṃ adāsi
dhātuyo ākāsamuggantvā dvattiṃsa mahā purisalakkhaṇa asiti anubyañjanā byāmappabhā	ākāsam uggantvā asiti anubyañjanā byāma ppabhā 	dhātuyo ākāsam uggantvā dvattiṃsa mahā purisalakkhaṇa asiti anubyañjanā byāma ppabhā
pūjetvā tambapaṇṇidipe rajjaṃ sattāhaṃ datvā tiṃsa satasahassagghanakaṃ alaṅkāra	pūjetvā tamba paṇṇi dipe rajjam sattāham da tvā alaṅkāra 	pūjetvā tamba paṇṇi dipe rajjam sattāham da tvā tiṃsa sata sahassa agghanakaṃ alaṅkāra
Yo vā sāsapa bījamattampi taṃ dhātuṃ naro pūjaye;	yaḥ vā tam dhātum naraḥ pūjaye 	yo vā sāsapa bījamattampi taṃ dhātuṃ naro pūjaye
Tesaṃ puññaphalaṃ samānamīti taṃ cittappasāde same,	tesam puñña phalam tam citta ppasāde same 	tesam puñña phalam samānam iti tam citta ppasāde same
